State,Sector,Year,Employment (2012=100),Employment (percent change),Hourly labor compensation (2012=100),Hourly labor compensation (percent change),Hourly labor compensation cost ($/hour),Hourly labor compensation cost (percent change),Hours (2012=100),Hours (percent change),Implicit output deflator (2012=100),Implicit output deflator (percent change),Labor compensation (2012=100),Labor compensation (percent change),Labor compensation cost (million $),Labor compensation cost (percent change),Labor productivity (2012=100),Labor productivity (percent change),Number of employees (percent change),Number of employees (thousands),Number of hours (millions),Number of hours (percent change),Output (2012=100),Output (percent change),Output per employee (2012=100),Output per employee (percent change),Real hourly labor compensation (2012=100),Real hourly labor compensation (percent change),Real hourly labor compensation cost ($/hour),Real hourly labor compensation cost (percent change),Real labor compensation (2012=100),Real labor compensation (percent change),Real labor compensation cost (million $),Real labor compensation cost (percent change),Unit labor cost (2012=100),Unit labor cost (percent change),Value of production (million $),Value of production (percent change)
Connecticut,Private Nonfarm,2008,102.339,-1.1,94.51,2.1,44.315,2.1,101.889,-2.3,92.719,1.8,96.295,-0.2,113628.78,-0.2,104.929,0.7,-1.1,1568.135,2564.136,-2.3,106.91,-1.6,104.467,-0.4,99.627,-1.7,42.92,-1.7,101.509,-3.9,110053.939,-3.9,90.071,1.4,197810.257,0.3
Connecticut,Private Nonfarm,2009,98.673,-3.6,96.062,1.6,45.042,1.6,95.34,-6.4,95.289,2.8,91.585,-4.9,108070.823,-4.9,106.388,1.4,-3.6,1511.96,2399.317,-6.4,101.43,-5.1,102.794,-1.6,101.868,2.2,43.886,2.3,97.12,-4.3,105296.072,-4.3,90.294,0.2,192871.149,-2.5
Connecticut,Private Nonfarm,2010,97.586,-1.1,98.253,2.3,46.07,2.3,95.339,0.0,95.909,0.7,93.674,2.3,110536.343,2.3,106.128,-0.2,-1.1,1495.316,2399.313,0.0,101.182,-0.2,103.684,0.9,103.386,1.5,44.54,1.5,98.567,1.5,106865.14,1.5,92.58,2.5,193651.801,0.4
Connecticut,Private Nonfarm,2011,98.482,0.9,98.712,0.5,46.285,0.5,98.132,2.9,97.643,1.8,96.868,3.4,114305.342,3.4,100.504,-5.3,0.9,1509.039,2469.6,2.9,98.627,-2.5,100.147,-3.4,101.082,-2.2,43.547,-2.2,99.194,0.6,107544.899,0.6,98.217,6.1,192176.124,-0.8
Connecticut,Private Nonfarm,2012,100.0,1.5,100.0,1.3,46.889,1.3,100.0,1.9,100.0,2.4,100.0,3.2,118000.663,3.2,100.0,-0.5,1.5,1532.298,2516.601,1.9,100.0,1.4,100.0,-0.1,100.0,-1.1,43.081,-1.1,100.0,0.8,108418.26,0.8,100.0,1.8,199554.263,3.8
Connecticut,Private Nonfarm,2013,99.91,-0.1,101.427,1.4,47.558,1.4,98.287,-1.7,102.178,2.2,99.689,-0.3,117633.992,-0.3,100.673,0.7,-0.1,1530.917,2473.489,-1.7,98.948,-1.1,99.038,-1.0,100.592,0.6,43.336,0.6,98.868,-1.1,107191.29,-1.1,100.749,0.7,201756.873,1.1
Connecticut,Private Nonfarm,2014,101.13,1.2,103.64,2.2,48.596,2.2,99.875,1.6,104.439,2.2,103.51,3.8,122142.814,3.8,97.776,-2.9,1.2,1549.613,2513.455,1.6,97.654,-1.3,96.563,-2.5,100.979,0.4,43.503,0.4,100.853,2.0,109342.692,2.0,105.997,5.2,203523.881,0.9
Connecticut,Private Nonfarm,2015,102.074,0.9,105.896,2.2,49.654,2.2,100.206,0.3,106.688,2.2,106.114,2.5,125215.327,2.5,100.18,2.5,0.9,1564.078,2521.776,0.3,100.386,2.8,98.346,1.8,103.105,2.1,44.419,2.1,103.317,2.4,112014.778,2.4,105.706,-0.3,213722.232,5.0
Connecticut,Private Nonfarm,2016,103.962,1.8,105.906,0.0,49.658,0.0,102.536,2.3,108.135,1.4,108.592,2.3,128138.988,2.3,98.102,-2.1,1.8,1593.003,2580.413,2.3,100.59,0.2,96.756,-1.6,103.045,-0.1,44.393,-0.1,105.658,2.3,114552.715,2.3,107.955,2.1,217060.238,1.6
Connecticut,Private Nonfarm,2017,102.063,-1.8,107.303,1.3,50.313,1.3,100.51,-2.0,109.381,1.2,107.85,-0.7,127263.378,-0.7,100.836,2.8,-1.8,1563.915,2529.424,-2.0,101.35,0.8,99.301,2.6,102.719,-0.3,44.253,-0.3,103.242,-2.3,111933.474,-2.3,106.413,-1.4,221221.474,1.9
Connecticut,Private Nonfarm,2018,103.465,1.4,108.998,1.6,51.108,1.6,102.441,1.9,111.7,2.1,111.658,3.5,131757.67,3.5,99.338,-1.5,1.4,1585.391,2578.028,1.9,101.763,0.4,98.355,-1.0,102.632,-0.1,44.215,-0.1,105.137,1.8,113988.101,1.8,109.724,3.1,226831.988,2.5
Connecticut,Private Nonfarm,2019,103.177,-0.3,112.772,3.5,52.877,3.5,101.659,-0.8,113.629,1.7,114.643,2.7,135279.441,2.7,102.251,2.9,-0.3,1580.984,2558.356,-0.8,103.947,2.1,100.746,2.4,104.299,1.6,44.933,1.6,106.03,0.8,114955.738,0.8,110.289,0.5,235702.714,3.9
Delaware,Private Nonfarm,2007,105.344,,88.024,,34.75,,109.522,,92.336,,96.406,,23066.084,,90.64,,,400.514,663.765,,99.271,,94.235,,96.949,,37.945,,106.181,,25186.899,,97.114,,47034.022,
Delaware,Private Nonfarm,2008,104.736,-0.6,89.955,2.2,35.513,2.2,107.137,-2.2,93.653,1.4,96.376,0.0,23058.794,0.0,87.514,-3.4,-0.6,398.202,649.312,-2.2,93.76,-5.6,89.52,-5.0,95.374,-1.6,37.329,-1.6,102.181,-3.8,24238.252,-3.8,102.79,5.8,45056.763,-4.2
Delaware,Private Nonfarm,2009,98.68,-5.8,92.49,2.8,36.513,2.8,97.623,-8.9,94.201,0.6,90.291,-6.3,21603.013,-6.3,98.813,12.9,-5.8,375.178,591.647,-8.9,96.464,2.9,97.754,9.2,97.236,2.0,38.058,2.0,94.924,-7.1,22516.838,-7.1,93.601,-8.9,46627.537,3.5
Delaware,Private Nonfarm,2010,97.056,-1.6,95.537,3.3,37.716,3.3,95.449,-2.2,95.715,1.6,91.189,1.0,21817.915,1.0,100.291,1.5,-1.6,369.004,578.474,-2.2,95.727,-0.8,98.631,0.9,99.144,2.0,38.805,2.0,94.632,-0.3,22447.523,-0.3,95.26,1.8,47015.02,0.8
Delaware,Private Nonfarm,2011,98.229,1.2,97.643,2.2,38.548,2.2,98.874,3.6,97.17,1.5,96.543,5.9,23098.939,5.9,100.91,0.6,1.2,373.464,599.232,3.6,99.773,4.2,101.572,3.0,99.216,0.1,38.833,0.1,98.099,3.7,23269.874,3.7,96.763,1.6,49747.352,5.8
Delaware,Private Nonfarm,2012,100.0,1.8,100.0,2.4,39.478,2.4,100.0,1.1,100.0,2.9,100.0,3.6,23925.971,3.6,100.0,-0.9,1.8,380.197,606.056,1.1,100.0,0.2,100.0,-1.5,100.0,0.8,39.14,0.8,100.0,1.9,23720.819,1.9,100.0,3.3,51312.229,3.1
Delaware,Private Nonfarm,2013,102.003,2.0,101.847,1.8,40.207,1.8,100.828,0.8,102.462,2.5,102.69,2.7,24569.551,2.7,93.806,-6.2,2.0,387.813,611.073,0.8,94.582,-5.4,92.725,-7.3,100.959,1.0,39.515,1.0,101.795,1.8,24146.58,1.8,108.572,8.6,49727.388,-3.1
Delaware,Private Nonfarm,2014,103.581,1.5,103.814,1.9,40.984,1.9,103.228,2.4,105.378,2.8,107.165,4.4,25640.235,4.4,100.176,6.8,1.5,393.81,625.618,2.4,103.41,9.3,99.835,7.7,100.692,-0.3,39.411,-0.3,103.942,2.1,24655.994,2.1,103.631,-4.6,55915.337,12.4
Delaware,Private Nonfarm,2015,105.838,2.2,104.446,0.6,41.233,0.6,106.385,3.1,107.828,2.3,111.114,3.7,26585.191,3.7,101.547,1.4,2.2,402.393,644.75,3.1,108.03,4.5,102.071,2.2,102.254,1.6,40.022,1.6,108.782,4.7,25804.019,4.7,102.855,-0.7,59771.871,6.9
Delaware,Private Nonfarm,2016,107.646,1.7,103.249,-1.1,40.761,-1.1,108.364,1.9,110.548,2.5,111.885,0.7,26769.552,0.7,94.852,-6.6,1.7,409.266,656.747,1.9,102.786,-4.9,95.485,-6.5,99.896,-2.3,39.099,-2.3,108.252,-0.5,25678.221,-0.5,108.853,5.8,58304.863,-2.5
Delaware,Private Nonfarm,2017,107.707,0.1,107.294,3.9,42.358,3.9,107.428,-0.9,113.091,2.3,115.263,3.0,27577.806,3.0,94.538,-0.3,0.1,409.498,651.071,-0.9,101.56,-1.2,94.293,-1.2,101.658,1.8,39.789,1.8,109.209,0.9,25905.233,0.9,113.492,4.3,58934.735,1.1
Delaware,Private Nonfarm,2018,109.618,1.8,109.623,2.2,43.277,2.2,109.285,1.7,117.66,4.0,119.801,3.9,28663.654,3.9,92.829,-1.8,1.8,416.764,662.325,1.7,101.447,-0.1,92.546,-1.9,102.727,1.1,40.207,1.1,112.265,2.8,26630.149,2.8,118.092,4.1,61247.722,3.9
Delaware,Private Nonfarm,2019,110.598,0.9,113.647,3.7,44.866,3.7,109.985,0.6,119.531,1.6,124.994,4.3,29906.146,4.3,93.096,0.3,0.9,420.489,666.569,0.6,102.391,0.9,92.58,0.0,104.606,1.8,40.942,1.8,115.05,2.5,27290.893,2.5,122.075,3.4,62800.461,2.5
District of Columbia,Private Nonfarm,2007,95.504,,90.324,,46.455,,97.046,,91.597,,87.656,,39279.951,,96.409,,,483.642,845.542,,93.561,,97.966,,102.09,,44.759,,99.074,,37845.488,,93.688,,58154.448,
District of Columbia,Private Nonfarm,2008,96.14,0.7,94.16,4.2,48.428,4.2,96.166,-0.9,93.38,1.9,90.549,3.3,40576.569,3.3,100.842,4.6,0.7,486.865,837.869,-0.9,96.976,3.7,100.869,3.0,102.449,0.4,44.917,0.4,98.521,-0.6,37634.172,-0.6,93.373,-0.3,61450.151,5.7
District of Columbia,Private Nonfarm,2009,94.84,-1.4,92.956,-1.3,47.809,-1.3,95.941,-0.2,94.771,1.5,89.183,-1.5,39964.294,-1.5,98.108,-2.7,-1.4,480.281,835.912,-0.2,94.126,-2.9,99.248,-1.6,100.771,-1.6,44.181,-1.6,96.68,-1.9,36931.075,-1.9,94.748,1.5,60533.503,-1.5
District of Columbia,Private Nonfarm,2010,95.601,0.8,97.996,5.4,50.401,5.4,94.19,-1.8,95.994,1.3,92.303,3.5,41362.331,3.5,102.424,4.4,0.8,484.137,820.657,-1.8,96.474,2.5,100.912,1.7,102.867,2.1,45.1,2.1,96.891,0.2,37011.426,0.2,95.677,1.0,62843.455,3.8
District of Columbia,Private Nonfarm,2011,97.947,2.5,99.724,1.8,51.29,1.8,97.396,3.4,97.76,1.8,97.127,5.2,43524.224,5.2,101.39,-1.0,2.5,496.015,848.59,3.4,98.75,2.4,100.82,-0.1,101.845,-1.0,44.652,-1.0,99.193,2.4,37890.954,2.4,98.357,2.8,65509.975,4.2
District of Columbia,Private Nonfarm,2012,100.0,2.1,100.0,0.3,51.432,0.3,100.0,2.7,100.0,2.3,100.0,3.0,44811.495,3.0,100.0,-1.4,2.1,506.412,871.277,2.7,100.0,1.3,100.0,-0.8,100.0,-1.8,43.843,-1.8,100.0,0.8,38199.141,0.8,100.0,1.7,67859.068,3.6
District of Columbia,Private Nonfarm,2013,102.877,2.9,99.699,-0.3,51.277,-0.3,103.244,3.2,102.405,2.4,102.933,2.9,46125.827,2.9,97.08,-2.9,2.9,520.983,899.538,3.2,100.229,0.2,97.425,-2.6,98.832,-1.2,43.331,-1.2,102.038,2.0,38977.565,2.0,102.698,2.7,69650.193,2.6
District of Columbia,Private Nonfarm,2014,104.439,1.5,102.75,3.1,52.846,3.1,105.627,2.3,104.643,2.2,108.532,5.4,48634.637,5.4,97.282,0.2,1.5,528.893,920.304,2.3,102.756,2.5,98.388,1.0,99.141,0.3,43.466,0.3,104.719,2.6,40001.831,2.6,105.621,2.8,72967.093,4.8
District of Columbia,Private Nonfarm,2015,106.976,2.4,107.569,4.7,55.325,4.7,106.215,0.6,107.177,2.4,114.255,5.3,51199.392,5.3,99.986,2.8,2.4,541.742,925.428,0.6,106.201,3.4,99.275,0.9,104.865,5.8,45.976,5.8,111.382,6.4,42547.058,6.4,107.584,1.9,77238.823,5.9
District of Columbia,Private Nonfarm,2016,109.802,2.6,108.743,1.1,55.929,1.1,108.772,2.4,109.232,1.9,118.282,3.5,53004.078,3.5,99.425,-0.6,2.6,556.05,947.706,2.4,108.146,1.8,98.492,-0.8,106.777,1.8,46.814,1.8,116.143,4.3,44365.817,4.3,109.372,1.7,80162.251,3.8
District of Columbia,Private Nonfarm,2017,111.117,1.2,112.782,3.7,58.006,3.7,109.804,0.9,111.392,2.0,123.838,4.7,55493.715,4.7,99.964,0.5,1.2,562.711,956.693,0.9,109.764,1.5,98.782,0.3,107.138,0.3,46.972,0.3,117.641,1.3,44937.985,1.3,112.823,3.2,82969.864,3.5
District of Columbia,Private Nonfarm,2018,113.568,2.2,117.811,4.5,60.592,4.5,111.124,1.2,113.647,2.0,130.917,5.7,58665.705,5.7,101.904,1.9,2.2,575.12,968.202,1.2,113.241,3.2,99.712,0.9,109.267,2.0,47.905,2.0,121.422,3.2,46382.171,3.2,115.609,2.5,87330.706,5.3
District of Columbia,Private Nonfarm,2019,114.756,1.0,120.089,1.9,61.764,1.9,113.015,1.7,115.812,1.9,135.718,3.7,60817.478,3.7,102.787,0.9,1.0,581.136,984.669,1.7,116.164,2.6,101.227,1.5,109.401,0.1,47.965,0.1,123.639,1.8,47229.182,1.8,116.834,1.1,91292.184,4.5
Florida,Private Nonfarm,2007,109.744,,88.401,,28.614,,113.145,,92.499,,100.021,,367052.761,,95.681,,,7483.759,12827.532,,108.258,,98.646,,96.478,,31.617,,109.16,,405572.943,,92.391,,597871.356,
Florida,Private Nonfarm,2008,104.235,-5.0,91.239,3.2,29.533,3.2,106.986,-5.4,93.729,1.3,97.613,-2.4,358218.14,-2.4,96.259,0.6,-5.0,7108.095,12129.34,-5.4,102.984,-4.9,98.8,0.2,95.856,-0.6,31.413,-0.6,102.552,-6.1,381023.633,-6.1,94.784,2.6,576312.035,-3.6
Florida,Private Nonfarm,2009,97.268,-6.7,92.207,1.1,29.846,1.1,99.136,-7.3,95.897,2.3,91.41,-6.4,335453.942,-6.4,96.977,0.7,-6.7,6632.986,11239.315,-7.3,96.139,-6.6,98.839,0.0,97.964,2.2,32.104,2.2,97.118,-5.3,360832.532,-5.3,95.081,0.3,550448.7,-4.5
Florida,Private Nonfarm,2010,96.223,-1.1,92.905,0.8,30.073,0.8,99.216,0.1,96.37,0.5,92.177,0.8,338267.074,0.8,99.018,2.1,-1.1,6561.742,11248.36,0.1,98.242,2.2,102.098,3.3,97.937,0.0,32.096,0.0,97.169,0.1,361022.576,0.1,93.826,-1.3,565259.291,2.7
Florida,Private Nonfarm,2011,97.552,1.4,95.901,3.2,31.042,3.2,98.848,-0.4,97.682,1.4,94.796,2.8,347881.293,2.8,100.143,1.1,1.4,6652.35,11206.64,-0.4,98.989,0.8,101.473,-0.6,97.926,0.0,32.092,0.0,96.797,-0.4,359640.994,-0.4,95.764,2.1,577315.65,2.1
Florida,Private Nonfarm,2012,100.0,2.5,100.0,4.3,32.369,4.3,100.0,1.2,100.0,2.4,100.0,5.5,366977.094,5.5,100.0,-0.1,2.5,6819.285,11337.273,1.2,100.0,1.0,100.0,-1.5,100.0,2.1,32.772,2.1,100.0,3.3,371540.301,3.3,100.0,4.4,597050.501,3.4
Florida,Private Nonfarm,2013,103.71,3.7,101.164,1.2,32.746,1.2,104.116,4.1,101.916,1.9,105.327,5.3,386527.3,5.3,98.553,-1.4,3.7,7072.257,11803.865,4.1,102.609,2.6,98.939,-1.1,99.587,-0.4,32.636,-0.4,103.686,3.7,385234.258,3.7,102.649,2.6,624363.511,4.6
Florida,Private Nonfarm,2014,107.453,3.6,103.213,2.0,33.409,2.0,107.927,3.7,103.932,2.0,111.395,5.8,408794.643,5.8,98.405,-0.2,3.6,7327.526,12235.988,3.7,106.205,3.5,98.839,-0.1,99.709,0.1,32.676,0.1,107.613,3.8,399825.49,3.8,104.887,2.2,659029.554,5.6
Florida,Private Nonfarm,2015,111.3,3.6,107.207,3.9,34.702,3.9,111.264,3.1,106.315,2.3,119.282,7.1,437739.419,7.1,100.285,1.9,3.6,7589.865,12614.312,3.1,111.581,5.1,100.252,1.4,103.295,3.6,33.851,3.6,114.93,6.8,427012.066,6.8,106.902,1.9,708262.571,7.5
Florida,Private Nonfarm,2016,115.442,3.7,109.079,1.7,35.308,1.7,114.348,2.8,107.95,1.5,124.73,4.6,457730.085,4.6,101.218,0.9,3.7,7872.292,12963.942,2.8,115.741,3.7,100.259,0.0,103.244,0.0,33.835,0.0,118.057,2.7,438630.876,2.7,107.766,0.8,745971.774,5.3
Florida,Private Nonfarm,2017,117.19,1.5,112.107,2.8,36.288,2.8,117.057,2.4,109.341,1.3,131.23,5.2,481584.209,5.2,102.736,1.5,1.5,7991.493,13271.123,2.4,120.26,3.9,102.62,2.4,103.807,0.5,34.019,0.5,121.514,2.9,451473.544,2.9,109.122,1.3,785082.802,5.2
Florida,Private Nonfarm,2018,121.373,3.6,114.159,1.8,36.952,1.8,122.983,5.1,111.543,2.0,140.396,7.0,515220.285,7.0,101.419,-1.3,3.6,8276.789,13942.895,5.1,124.728,3.7,102.764,0.1,102.883,-0.9,33.716,-0.9,126.528,4.1,470104.024,4.1,112.562,3.2,830644.71,5.8
Florida,Private Nonfarm,2019,123.602,1.8,119.723,4.9,38.753,4.9,123.527,0.4,113.959,2.2,147.891,5.3,542725.232,5.3,104.225,2.8,1.8,8428.755,14004.642,0.4,128.746,3.2,104.162,1.4,105.981,3.0,34.732,3.0,130.915,3.5,486403.026,3.5,114.87,2.1,875978.887,5.5
Georgia,Private Nonfarm,2007,106.296,,88.543,,30.414,,107.874,,92.029,,95.515,,197474.028,,94.867,,,3773.195,6492.932,,102.337,,96.275,,96.925,,36.229,,104.557,,235233.617,,93.335,,333418.176,
Georgia,Private Nonfarm,2008,104.676,-1.5,90.766,2.5,31.177,2.5,104.943,-2.7,93.309,1.4,95.253,-0.3,196930.817,-0.3,94.736,-0.1,-1.5,3715.692,6316.541,-2.7,99.419,-2.9,94.978,-1.3,95.646,-1.3,35.751,-1.3,100.374,-4.0,225822.361,-4.0,95.809,2.7,328418.156,-1.5
Georgia,Private Nonfarm,2009,98.172,-6.2,94.323,3.9,32.399,3.9,96.899,-7.7,95.87,2.7,91.398,-4.0,188962.155,-4.0,97.298,2.7,-6.2,3484.834,5832.344,-7.7,94.281,-5.2,96.036,1.1,100.146,4.7,37.433,4.7,97.04,-3.3,218322.22,-3.3,96.942,1.2,319994.094,-2.6
Georgia,Private Nonfarm,2010,96.435,-1.8,95.256,1.0,32.719,1.0,95.424,-1.5,96.35,0.5,90.897,-0.5,187925.711,-0.5,101.153,4.0,-1.8,3423.156,5743.581,-1.5,96.525,2.4,100.093,4.2,100.306,0.2,37.493,0.2,95.716,-1.4,215344.006,-1.4,94.17,-2.9,329250.337,2.9
Georgia,Private Nonfarm,2011,98.16,1.8,98.12,3.0,33.703,3.0,97.109,1.8,97.517,1.2,95.284,4.8,196994.874,4.8,101.686,0.5,1.8,3484.376,5844.997,1.8,98.747,2.3,100.598,0.5,100.62,0.3,37.61,0.3,97.711,2.1,219831.135,2.1,96.493,2.5,340910.587,3.5
Georgia,Private Nonfarm,2012,100.0,1.9,100.0,1.9,34.349,1.9,100.0,3.0,100.0,2.5,100.0,4.9,206745.835,4.9,100.0,-1.7,1.9,3549.708,6018.992,3.0,100.0,1.3,100.0,-0.6,100.0,-0.6,37.379,-0.6,100.0,2.3,224981.327,2.3,100.0,3.6,354025.541,3.8
Georgia,Private Nonfarm,2013,101.077,1.1,101.712,1.7,34.937,1.7,101.151,1.2,102.031,2.0,102.883,2.9,212706.031,2.9,101.27,1.3,1.1,3587.951,6088.294,1.2,102.436,2.4,101.344,1.3,100.119,0.1,37.423,0.1,101.272,1.3,227842.377,1.3,100.437,0.4,370013.506,4.5
Georgia,Private Nonfarm,2014,105.08,4.0,104.262,2.5,35.813,2.5,105.415,4.2,104.128,2.1,109.908,6.8,227229.694,6.8,101.252,0.0,4.0,3730.017,6344.902,4.2,106.735,4.2,101.575,0.2,101.247,1.1,37.845,1.1,106.729,5.4,240120.326,5.4,102.973,2.5,393466.154,6.3
Georgia,Private Nonfarm,2015,107.735,2.5,106.628,2.3,36.626,2.3,107.875,2.3,106.429,2.2,115.025,4.7,237809.673,4.7,102.538,1.3,2.5,3824.28,6492.982,2.3,110.613,3.6,102.671,1.1,102.485,1.2,38.308,1.2,110.556,3.6,248730.539,3.6,103.989,1.0,416773.762,5.9
Georgia,Private Nonfarm,2016,111.697,3.7,110.047,3.2,37.8,3.2,110.676,2.6,108.153,1.6,121.795,5.9,251806.978,5.9,104.169,1.6,3.7,3964.93,6661.595,2.6,115.291,4.2,103.217,0.5,104.643,2.1,39.114,2.1,115.815,4.8,260562.459,4.8,105.642,1.6,441435.356,5.9
Georgia,Private Nonfarm,2017,114.674,2.7,113.426,3.1,38.96,3.1,113.482,2.5,109.237,1.0,128.717,5.7,266117.823,5.7,105.578,1.4,2.7,4070.598,6830.457,2.5,119.812,3.9,104.481,1.2,105.507,0.8,39.437,0.8,119.731,3.4,269372.821,3.4,107.433,1.7,463347.789,5.0
Georgia,Private Nonfarm,2018,115.838,1.0,116.382,2.6,39.976,2.6,115.087,1.4,111.369,2.0,133.941,4.1,276916.838,4.1,106.832,1.2,1.0,4111.899,6927.093,1.4,122.951,2.6,106.14,1.6,105.558,0.0,39.456,0.0,121.484,1.5,273316.224,1.5,108.939,1.4,484761.745,4.6
Georgia,Private Nonfarm,2019,118.131,2.0,120.467,3.5,41.379,3.5,116.898,1.6,113.438,1.9,140.824,5.1,291146.834,5.1,107.538,0.7,2.0,4193.314,7036.073,1.6,125.709,2.2,106.415,0.3,107.322,1.7,40.116,1.7,125.458,3.3,282256.115,3.3,112.023,2.8,504846.872,4.1
Hawaii,Private Nonfarm,2007,104.87,,93.787,,29.714,,100.346,,92.184,,94.112,,26441.211,,97.98,,,560.356,889.842,,98.32,,93.754,,103.848,,28.023,,104.208,,24936.326,,95.72,,44793.818,
Hawaii,Private Nonfarm,2008,103.7,-1.1,96.78,3.2,30.663,3.2,99.824,-0.5,93.546,1.5,96.609,2.7,27142.842,2.7,97.737,-0.2,-1.1,554.102,885.208,-0.5,97.565,-0.8,94.084,0.4,103.158,-0.7,27.837,-0.7,102.976,-1.2,24641.678,-1.2,99.021,3.4,45106.21,0.7
Hawaii,Private Nonfarm,2009,97.129,-6.3,97.747,1.0,30.969,1.0,92.651,-7.2,95.299,1.9,90.564,-6.3,25444.473,-6.3,99.492,1.8,-6.3,518.994,821.603,-7.2,92.181,-5.5,94.906,0.9,105.421,2.2,28.448,2.2,97.673,-5.1,23372.725,-5.1,98.246,-0.8,43416.227,-3.7
Hawaii,Private Nonfarm,2010,95.966,-1.2,98.636,0.9,31.251,0.9,93.307,0.7,95.854,0.6,92.034,1.6,25857.493,1.6,102.003,2.5,-1.2,512.778,827.421,0.7,95.176,3.2,99.177,4.5,104.51,-0.9,28.202,-0.9,97.516,-0.2,23334.962,-0.2,96.699,-1.6,45087.747,3.8
Hawaii,Private Nonfarm,2011,96.247,0.3,99.658,1.0,31.575,1.0,94.687,1.5,97.446,1.7,94.363,2.5,26511.777,2.5,102.541,0.5,0.3,514.282,839.657,1.5,97.093,2.0,100.879,1.7,102.648,-1.8,27.7,-1.8,97.194,-0.3,23258.094,-0.3,97.188,0.5,46760.031,3.7
Hawaii,Private Nonfarm,2012,100.0,3.9,100.0,0.3,31.683,0.3,100.0,5.6,100.0,2.6,100.0,6.0,28095.547,6.0,100.0,-2.5,3.9,534.334,886.77,5.6,100.0,3.0,100.0,-0.9,100.0,-2.6,26.985,-2.6,100.0,2.9,23929.456,2.9,100.0,2.9,49422.05,5.7
Hawaii,Private Nonfarm,2013,101.586,1.6,104.298,4.3,33.045,4.3,99.28,-0.7,101.945,1.9,103.547,3.5,29092.101,3.5,102.934,2.9,1.6,542.809,880.385,-0.7,102.193,2.2,100.598,0.6,102.342,2.3,27.617,2.3,101.605,1.6,24313.458,1.6,101.325,1.3,51488.307,4.2
Hawaii,Private Nonfarm,2014,104.092,2.5,105.437,1.1,33.406,1.1,103.048,3.8,104.342,2.4,108.65,4.9,30525.824,4.9,99.673,-3.2,2.5,556.197,913.794,3.8,102.711,0.5,98.674,-1.9,101.648,-0.7,27.43,-0.7,104.745,3.1,25064.98,3.1,105.782,4.4,52965.912,2.9
Hawaii,Private Nonfarm,2015,105.354,1.2,110.512,4.8,35.014,4.8,103.371,0.3,107.096,2.6,114.238,5.1,32095.66,5.1,103.611,4.0,1.2,562.941,916.663,0.3,107.104,4.3,101.662,3.0,105.654,3.9,28.511,3.9,109.216,4.3,26134.707,4.3,106.66,0.8,56689.224,7.0
Hawaii,Private Nonfarm,2016,107.042,1.6,115.427,4.4,36.571,4.4,103.157,-0.2,108.767,1.6,119.072,4.2,33453.817,4.2,106.258,2.6,1.6,571.964,914.767,-0.2,109.612,2.3,102.401,0.7,109.334,3.5,29.504,3.5,112.786,3.3,26989.053,3.3,108.63,1.8,58921.926,3.9
Hawaii,Private Nonfarm,2017,107.11,0.1,117.007,1.4,37.071,1.4,103.766,0.6,110.478,1.6,121.414,2.0,34111.833,2.0,109.113,2.7,0.1,572.328,920.168,0.6,113.223,3.3,105.707,3.2,108.624,-0.6,29.312,-0.7,112.715,-0.1,26972.202,-0.1,107.234,-1.3,61820.309,4.9
Hawaii,Private Nonfarm,2018,108.263,1.1,122.158,4.4,38.703,4.4,104.268,0.5,112.962,2.2,127.371,4.9,35785.671,4.9,112.09,2.7,1.1,578.484,924.618,0.5,116.874,3.2,107.955,2.1,111.474,2.6,30.081,2.6,116.232,3.1,27813.668,3.1,108.981,1.6,65248.515,5.5
Hawaii,Private Nonfarm,2019,107.795,-0.4,127.55,4.4,40.412,4.4,103.361,-0.9,115.762,2.5,131.836,3.5,37040.044,3.5,114.23,1.9,-0.4,575.984,916.57,-0.9,118.068,1.0,109.531,1.5,114.327,2.6,30.851,2.6,118.169,1.7,28277.163,1.7,111.661,2.5,67549.14,3.5
Idaho,Private Nonfarm,2007,109.175,,93.179,,25.789,,112.24,,93.079,,104.584,,26461.516,,89.813,,,620.973,1026.068,,100.807,,92.335,,101.482,,30.172,,113.903,,30958.42,,103.747,,39681.644,
Idaho,Private Nonfarm,2008,105.329,-3.5,94.845,1.8,26.25,1.8,108.263,-3.5,94.099,1.1,102.682,-1.8,25980.204,-1.8,94.952,5.7,-3.5,599.1,989.708,-3.5,102.797,2.0,97.596,5.7,99.437,-2.0,29.564,-2.0,107.653,-5.5,29259.741,-5.5,99.887,-3.7,40908.657,3.1
Idaho,Private Nonfarm,2009,97.016,-7.9,96.272,1.5,26.645,1.5,97.644,-9.8,96.327,2.4,94.004,-8.5,23784.588,-8.5,99.432,4.7,-7.9,551.816,892.631,-9.8,97.089,-5.6,100.075,2.5,101.689,2.3,30.233,2.3,99.292,-7.8,26987.34,-7.8,96.822,-3.1,39551.865,-3.3
Idaho,Private Nonfarm,2010,97.207,0.2,99.385,3.2,27.507,3.2,97.475,-0.2,96.588,0.3,96.876,3.1,24511.238,3.1,102.225,2.8,0.2,552.9,891.088,-0.2,99.643,2.6,102.506,2.4,104.656,2.9,31.116,2.9,102.014,2.7,27726.938,2.7,97.223,0.4,40702.164,2.9
